,user,mode,game,iter,performance_mean,performance_std,frequency_overall,frequency_good_bad,timing_overall,timing_good,timing_bad,timing_good_indices,timing_bad_indices
0,Frog,retrospective,snake,1,1.86,1.02975725294848,0.03,inf,58.666666666666664,58.666666666666664,-1.0,"70, 58, 48",
1,Frog,retrospective,snake,2,1.03,0.17058722109231983,0.04,0.0,57.0,-1.0,57.0,,"69, 58, 53, 48"
2,Frog,retrospective,snake,3,1.03,0.17058722109231983,0.21,0.0,55.57142857142857,-1.0,55.57142857142857,,"87, 83, 78, 73, 70, 66, 63, 61, 59, 58, 56, 54, 52, 51, 49, 47, 45, 43, 41, 26, 5"
3,Frog,retrospective,ttt,1,-0.13,0.9555626614722866,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
4,Frog,retrospective,ttt,2,-0.31,0.924067097130939,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
5,Frog,retrospective,ttt,3,-0.21,0.9517877914745493,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
6,Frog,retrospective,mc,1,0.3850153499179415,0.03304744933328132,0.022727272727272728,inf,13.0,13.0,-1.0,"24, 16, -1",
7,Frog,retrospective,mc,2,0.46398489673932386,0.0020408747270264857,0.013333333333333334,0.0,147.0,-1.0,147.0,,"248, 183, 113, 44"
8,Frog,retrospective,mc,3,0.52053394044439,0.04002804381142272,0.07666666666666666,0.0,124.69565217391305,-1.0,124.69565217391305,,"234, 204, 195, 187, 179, 171, 163, 155, 148, 140, 131, 123, 115, 108, 100, 92, 84, 76, 68, 60, 53, 45, 37"
9,Mob,retrospective,snake,1,1.05,0.21794494717703375,0.26,inf,29.884615384615383,29.884615384615383,-1.0,"85, 82, 74, 62, 46, 42, 40, 38, 36, 34, 32, 29, 27, 25, 23, 21, 19, 16, 14, 11, 9, 7, 4, 2, 0, -1",
10,Mob,retrospective,snake,2,1.0,0.0,0.15,0.0,55.333333333333336,-1.0,55.333333333333336,,"92, 89, 85, 80, 74, 69, 64, 54, 52, 46, 40, 33, 25, 20, 7"
11,Mob,retrospective,snake,3,1.01,0.09949874371066199,0.27,0.5,40.22222222222222,41.0,39.833333333333336,"86, 66, 59, 49, 41, 31, 22, 12, 3","84, 78, 73, 63, 60, 54, 51, 45, 43, 36, 33, 27, 24, 17, 15, 9, 6, -1"
12,Mob,retrospective,ttt,1,-0.11,0.9684523736353793,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
13,Mob,retrospective,ttt,2,-0.02,0.9795917517006765,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
14,Mob,retrospective,ttt,3,0.02,0.9795917517006767,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
15,Mob,retrospective,mc,1,0.8172009476357036,0.21431000494424762,0.03333333333333333,0.0,132.2,-1.0,132.2,,"259, 234, 204, 176, 148, 120, 92, 63, 27, -1"
16,Mob,retrospective,mc,2,0.5237326571510897,0.03331609864125544,0.04,0.0,121.08333333333333,-1.0,121.08333333333333,,"267, 246, 184, 177, 150, 126, 110, 74, 59, 39, 22, -1"
17,Mob,retrospective,mc,3,0.38734700779120124,0.030824621191930638,0.056666666666666664,0.4166666666666667,149.64705882352942,170.0,141.16666666666666,"272, 264, 253, 34, 27","245, 234, 224, 216, 204, 179, 167, 112, 98, 12, 4, -1"
18,morf,retrospective,snake,1,1.05,0.21794494717703375,0.09,2.0,42.0,42.833333333333336,40.333333333333336,"91, 69, 47, 31, 20, -1","58, 45, 18"
19,morf,retrospective,snake,2,1.03,0.17058722109231983,0.12,inf,51.0,51.0,-1.0,"88, 84, 80, 76, 68, 60, 53, 45, 33, 17, 9, -1",
20,morf,retrospective,snake,3,1.0,0.0,0.17,1.125,51.588235294117645,58.77777777777778,43.5,"94, 87, 82, 74, 63, 50, 48, 22, 9","85, 80, 61, 42, 35, 27, 15, 3"
21,morf,retrospective,ttt,1,-0.15,0.9313968005098577,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
22,morf,retrospective,ttt,2,0.09,0.990908673894825,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
23,morf,retrospective,ttt,3,-0.1,0.9746794344808964,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
24,morf,retrospective,mc,1,0.7352373833457628,0.18342790243194565,0.02,2.0,140.66666666666666,154.75,112.5,"274, 197, 114, 34","226, -1"
25,morf,retrospective,mc,2,0.5241923576427829,0.037003907404041636,0.02,2.0,140.33333333333334,152.5,116.0,"273, 189, 114, 34","223, 9"
26,morf,retrospective,mc,3,0.5200364228751925,0.03669091063097258,0.03333333333333333,1.5,169.3,158.83333333333334,185.0,"258, 194, 184, 175, 106, 36","227, 216, 155, 142"
27,Red,retrospective,snake,1,1.02,0.13999999999999999,0.05,1.5,41.4,65.0,6.0,"83, 72, 40","13, -1"
28,Red,retrospective,snake,2,1.02,0.13999999999999999,0.11,0.0,47.90909090909091,-1.0,47.90909090909091,,"92, 83, 74, 66, 58, 49, 39, 29, 21, 13, 3"
29,Red,retrospective,snake,3,1.04,0.19595917942265426,0.07,0.0,42.57142857142857,-1.0,42.57142857142857,,"80, 70, 59, 44, 30, 15, 0"
30,Red,retrospective,ttt,1,-0.39,0.8590110593001701,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
31,Red,retrospective,ttt,2,-0.09,0.9807650075323856,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
32,Red,retrospective,ttt,3,-0.06,0.9676776322722355,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
33,Red,retrospective,mc,1,0.4918726945916812,0.010665504731706027,0.022388059701492536,2.0,37.666666666666664,36.5,40.0,"67, 6",40
34,Red,retrospective,mc,2,0.4957198712560865,0.012874196216801583,0.02666666666666667,0.14285714285714285,151.5,264.0,135.42857142857142,264,"222, 174, 155, 137, 115, 91, 54"
35,Red,retrospective,mc,3,0.3927652849091425,0.02937317414829069,0.013333333333333334,0.0,123.5,-1.0,123.5,,"210, 145, 97, 42"
36,Something,retrospective,snake,1,1.04,0.19595917942265428,0.41,1.05,43.146341463414636,37.42857142857143,49.15,"92, 90, 83, 65, 63, 61, 45, 43, 34, 33, 31, 29, 25, 23, 21, 14, 12, 10, 8, 3, 1","85, 81, 79, 77, 75, 70, 68, 56, 54, 52, 51, 42, 40, 38, 36, 27, 19, 18, 16, -1"
